Date Reported,New cases,New Deaths,New Tested,Total tested,Tested per 100k,Total Cases,Cases per 100k,Total Deaths,Deaths per 100k,,Source
"Monday, May 4, 2020",574,19,4438,113297,"1,706.94",20507,308.96,1151,17.34,,ISDH (entered by me)
"Sunday, May 3, 2020",638,17,4718,108859,"1,640.08",19933,300.31,1132,17.05,,ISDH (entered by me)
"Saturday, May 2, 2020",665,53,4502,104141,"1,569.00",19295,290.7,1115,16.8,,ISDH (entered by me)
"Friday, May 1, 2020",795,55,4641,99639,"1,501.17",18630,280.68,1062,16,,ISDH (entered by me)
"Thursday, April 30, 2020",653,43,3448,94998,"1,431.25",17835,268.7,1007,15.17,,ISDH (entered by me)
"Wednesday, April 29, 2020",594,63,4369,91550,"1,379.30",17182,258.87,964,14.52,,ISDH (entered by me)
"Tuesday, April 28, 2020",627,57,2705,87181,"1,313.48",16588,249.92,901,13.57,,ISDH (entered by me)
"Monday, April 27, 2020",949,31,2768,84476,"1,272.72",15961,240.47,844,12.72,,ISDH (entered by me)
"Sunday, April 26, 2020",617,28,1934,81708,"1,231.02",15012,226.17,813,12.25,,ISDH (entered by me)
"Saturday, April 25, 2020",715,44,4221,79774,"1,201.88",14395,216.88,785,11.83,,ISDH (entered by me)
"Friday, April 24, 2020",641,35,3513,75553,"1,138.29",13680,206.1,741,11.16,,ISDH (entered by me)
"Thursday, April 23, 2020",601,45,2570,72040,"1,085.36",13039,196.45,706,10.64,,ISDH (entered by me)
"Wednesday, April 22, 2020",341,31,2206,69470,"1,046.64",12438,187.39,661,9.96,,ISDH (entered by me)
"Tuesday, April 21, 2020",411,61,2625,67264,"1,013.40",12097,182.25,630,9.49,,ISDH (entered by me)
"Monday, April 20, 2020",476,7,3497,64639,973.86,11686,176.06,569,8.57,,ISDH (entered by me)
"Sunday, April 19, 2020",569,17,4269,61142,921.17,11210,168.89,562,8.47,,ISDH (entered by me)
"Saturday, April 18, 2020",487,26,2088,56873,856.85,10641,160.32,545,8.21,,ISDH (entered by me)
"Friday, April 17, 2020",612,42,3670,54785,825.4,10154,152.98,519,7.82,,ISDH (entered by me)
"Thursday, April 16, 2020",587,41,2719,51115,770.1,9542,143.76,477,7.19,,ISDH (entered by me)
"Wednesday, April 15, 2020",428,49,2379,48396,729.14,8955,134.92,436,6.57,,ISDH (entered by me)
"Tuesday, April 14, 2020",291,37,1478,46017,693.3,8527,128.47,387,5.83,,ISDH (entered by me)
"Monday, April 13, 2020",308,7,2050,44539,671.03,8236,124.08,350,5.27,,ISDH (entered by me)
"Sunday, April 12, 2020",493,13,3274,42489,640.14,7928,119.44,343,5.17,,ISDH (entered by me)
"Saturday, April 11, 2020",528,30,4175,39215,590.82,7435,112.02,330,4.97,,ISDH (entered by me)
"Friday, April 10, 2020",556,55,2907,35040,527.92,6907,104.06,300,4.52,,ISDH (entered by me)
"Thursday, April 9, 2020",408,42,1264,32133,484.12,6351,95.68,245,3.69,,ISDH (entered by me)
"Wednesday, April 8, 2020",436,30,2105,30869,465.07,5943,89.54,203,3.06,,ISDH (entered by me)
"Tuesday, April 7, 2020",563,34,2573,28764,433.36,5507,82.97,173,2.61,,ISDH (entered by me)
"Monday, April 6, 2020",533,12,3539,26191,394.6,4944,74.49,139,2.09,,ISDH (entered by me)
"Sunday, April 5, 2020",458,11,2852,22652,341.28,4411,66.46,127,1.91,,ISDH (entered by me)
"Saturday, April 4, 2020",516,15,2900,19800,298.31,3953,59.56,116,1.75,,ISDH (entered by me)
"Friday, April 3, 2020",398,23,615,16900,254.62,3437,51.78,101,1.52,,ISDH (entered by me)
"Thursday, April 2, 2020",474,13,1910,16285,245.35,3039,45.79,78,1.18,,ISDH (entered by me)
"Wednesday, April 1, 2020",406,16,1002,14375,216.57,2565,38.64,65,0.98,,ISDH (entered by me)
"Tuesday, March 31, 2020",373,14,1715,13373,201.48,2159,32.53,49,0.74,,ISDH (entered by me)
"Monday, March 30, 2020",272,3,1828,11658,175.64,1786,26.91,35,0.53,,ISDH (entered by me)
"Sunday, March 29, 2020",282,1,1423,9830,148.1,1514,22.81,32,0.48,,ISDH (entered by me)
"Saturday, March 28, 2020",251,7,1471,8407,126.66,1232,18.56,31,0.47,,ISDH (entered by me)
"Friday, March 27, 2020",336,7,2285,6936,104.5,981,14.78,24,0.36,,ISDH (entered by me)
"Thursday, March 26, 2020",168,3,1295,4651,70.07,645,9.72,17,0.26,,ISDH (entered by me)
"Wednesday, March 25, 2020",112,2,425,3356,50.56,477,7.19,14,0.21,,ISDH (entered by me)
"Tuesday, March 24, 2020",106,60,971,2931,44.16,365,5.5,12,0.18,,ISDH (entered by me)
"Monday, March 23, 2020",58,3,466,1960,29.53,259,3.9,7,0.11,,ISDH (entered by me)
"Sunday, March 22, 2020",75,1,661,1494,22.51,201,3.03,4,0.06,,ISDH (entered by me)
"Saturday, March 21, 2020",47,0,279,833,12.55,126,1.9,3,0.05,,ISDH (entered by me)
"Friday, March 20, 2020",23,1,174,554,8.35,79,1.19,3,0.05,,ISDH (entered by me)
"Thursday, March 19, 2020",17,0,187,380,5.73,56,0.84,2,0.03,,ISDH (entered by me)
"Wednesday, March 18, 2020",9,0,34,193,,39,,2,,,https://fox59.com/news/coronavirus/live-blog-coronavirus-updates-from-indiana-and-around-the-country/
"Tuesday, March 17, 2020",6,1,20,159,,30,,2,,,https://fox59.com/news/coronavirus/live-blog-coronavirus-updates-from-indiana-and-around-the-country/
"Monday, March 16, 2020",5,1,,139,,24,,1,,,https://fox59.com/news/coronavirus/live-blog-coronavirus-updates-from-indiana-and-around-the-country/
"Sunday, March 15, 2020",4,0,,?,,19,,,,,https://fox59.com/news/coronavirus/live-blog-coronavirus-updates-from-indiana-and-around-the-country/
"Saturday, March 14, 2020",3,0,16,89,,15,,,,,https://fox59.com/news/coronavirus/live-blog-coronavirus-updates-from-indiana-and-around-the-country/
"Friday, March 13, 2020",0,0,18,73,,12,,,,,https://fox59.com/news/coronavirus/live-blog-coronavirus-updates-from-indiana-and-around-the-country/
"Thursday, March 12, 2020",2,0,12,55,,12,,,,,https://fox59.com/news/coronavirus/second-case-of-coronavirus-in-marion-county-1-in-st-joseph-county-makes-total-of-12-in-indiana/
"Wednesday, March 11, 2020",4,0,,43,,10,,,,,https://fox59.com/news/coronavirus/indiana-reaches-10-confirmed-cases-of-coronavirus-including-4-new-cases-in-central-indiana/
"Tuesday, March 10, 2020",2,0,,,,6,,,,,
"Monday, March 9, 2020",2,0,,,,4,,,,,
"Sunday, March 8, 2020",1,0,,,,2,,,,,https://fox59.com/news/coronavirus/department-of-health-2nd-case-of-covid-19-identified-in-indiana/
"Saturday, March 7, 2020",0,0,,,,1,,,,,https://fox59.com/news/coronavirus/department-of-health-2nd-case-of-covid-19-identified-in-indiana/
"Friday, March 6, 2020",1,0,,,,1,,,,,https://fox59.com/news/coronavirus/department-of-health-2nd-case-of-covid-19-identified-in-indiana/
"Thursday, March 5, 2020",,,,,,,,,,,
"Wednesday, March 4, 2020",,,,,,,,,,,
